code,Brand
900,Tele2
901,Tele2
902,Tele2
903,Beeline
904,Tele2
905,Beeline
906,Beeline
908,Tele2
909,Beeline
910,MTS
911,MTS
912,MTS
913,MTS
914,MTS
915,MTS
916,MTS
917,MTS
918,MTS
919,MTS
920,MegaFon
921,MegaFon
922,MegaFon
923,MegaFon
924,MegaFon
925,MegaFon
926,MegaFon
927,MegaFon
928,MegaFon
929,MegaFon
930,MegaFon
931,MegaFon
932,MegaFon
933,T-Mobile
934,Tele2
936,MegaFon
937,MegaFon
938,Rostelecom
939,Rostelecom
950,Tele2
951,Tele2
952,Tele2
953,Tele2
958,Rostelecom
959,MKS
960,Beeline
961,Beeline
962,Beeline
963,Beeline
964,Beeline
965,Beeline
966,Beeline
967,Beeline
968,Beeline
969,Beeline
970,Rostelecom
971,Rostelecom
977,Tele2
978,MTS
980,MTS
981,MTS
982,MTS
983,MTS
984,MTS
985,MTS
986,MTS
987,MTS
988,MTS
989,MTS
991,Rostelecom
992,Tele2
993,T-Mobile
994,Tele2
995,T-Mobile
996,Yota
999,Yota
